"id";"name"
"538070935";"IP卡/网络电话/手机号码"
"538072052";"MP3/MP4/录音笔/电纸书"
"538101922";"VB2C"
"537892413";"ZIPPO/瑞士军刀/眼镜/礼品"
"537898958";"办公/电子辞典/文具"
"538112995";"保健食品"
"538112192";"保险"
"538112937";"笔记本/台式/一体/平板电脑"
"538112978";"彩妆/香水/美妆工具"
"538096864";"成人用品/避孕/计生用品"
"538100515";"宠物/宠物食品及用品"
"537870913";"电脑硬件/周边/网络设备"
"538096552";"电玩/游戏机/配件/游戏软件"
"537895413";"电影/电视/音乐/曲艺"
"538111060";"国货精品数码"
"538372728";"花卉绿植"
"537876982";"户外运动/登山野营/旅行装备"
"537906649";"家纺-床品/抱枕/毛巾/拖鞋"
"537898966";"家具-床/沙发/桌/柜/箱架"
"538112993";"家饰-装饰/摆设/布艺/十字绣"
"537898965";"家用电器"
"537898967";"家用-居家日用/餐厨用品/清洁洗护"
"537898968";"家装-灯饰/厨卫/建材/五金/涂料"
"537892913";"精品男装"
"538370913";"金融理财"
"538372764";"旅游出行"
"538372688";"卖家服务"
"538112979";"美发护发/假发"
"537890913";"美容护肤/美体/精油"
"538104511";"奶粉/辅食/营养品"
"537905079";"男鞋"
"538112994";"男装配件"
"537898070";"女士内衣/男士内衣/家居服/袜子"
"537891913";"女士配件/围巾/帽子/眼镜/手套"
"537891948";"女鞋"
"537072692";"品牌手表/流行手表"
"538371746";"品牌手机"
"537879913";"汽车/摩托/配件/服务"
"537876913";"球类/运动器械/瑜伽健身游泳"
"538082593";"热销女包/男包/功能箱包"
"538372738";"生活本地"
"538071212";"食品/茶叶/特产/滋补品"
"537891413";"时尚女装/中老年装/婚纱礼服"
"537872913";"时尚饰品"
"537894413";"书籍/报纸/杂志"
"537898921";"数码配件"
"537874913";"数码相机/摄像机/单反/器材"
"537893413";"童装/童鞋/亲子装/配饰"
"537898951";"网络服务/电脑软件/网店装修"
"538113282";"网游API"
"538088633";"玩具/模型/动漫/早教/益智"
"538372669";"唯品会专用类目"
"538372786";"鲜花蛋糕/家政/婚庆/服务"
"537894913";"鲜花蛋糕/园艺/礼品/服务"
"538104253";"医药用品"
"537878913";"邮币/古董/字画/收藏"
"538103269";"乐器及配件"
"538104513";"孕产妇服饰/用品/营养品"
"537905439";"运动服饰/配件/包袋"
"537876929";"运动鞋"
"537074893";"赠品/补邮/订单/其他无分类商品"
"538104512";"纸尿裤/洗护/喂哺/推车床"
"537903127";"珠宝钻石/手表名品"
"537880913";"住宅/商铺/办公楼租售"
"537072033";"MP3/MP4/录音笔/电纸书-MP3和MP4"
"537091432";"MP3/MP4/录音笔/电纸书-电纸书"
"537099252";"MP3/MP4/录音笔/电纸书-录音笔"
"537114444";"VB2C-QQ业务"
"537109573";"VB2C-话费直充"
"537103018";"VB2C-农场道具"
"537101925";"VB2C-网游道具"
"537109572";"VB2C-网游直充"
"537112352";"VB2C-游戏币直充"
"537171958";"保健食品-保健饮品"
"538372606";"保健食品-蛋白质/氨基酸"
"537119770";"保健食品-冬虫夏草"
"538372607";"保健食品-动物精华/提取物"
"538372608";"保健食品-功能复合型膳食营养补充剂"
"538372609";"保健食品-海洋生物类"
"538372610";"保健食品-菌/菇/微生物发酵"
"537071274";"保健食品-鹿茸"
"537119772";"保健食品-三七"
"538372611";"保健食品-膳食纤维/碳水化合物"
"537119773";"保健食品-山药"
"537119771";"保健食品-石斛/枫斗"
"538372612";"保健食品-维生素/矿物质"
"537119774";"保健食品-新资源食品"
"537119763";"保健食品-雪蛤干/林蛙油"
"537071311";"保健食品-燕窝"
"538372742";"保健食品-燕窝/人参/蜂产品/滋补品"
"538372613";"保健食品-脂肪酸/脂类"
"538372614";"保健食品-植物精华/提取物"
"536904460";"笔记本/台式/一体/平板电脑-DIY台式机"
"537074272";"笔记本/台式/一体/平板电脑-笔记本电脑"
"537074986";"笔记本/台式/一体/平板电脑-服务器"
"537104243";"笔记本/台式/一体/平板电脑-平板电脑"
"537074991";"笔记本/台式/一体/平板电脑-品牌台式机"
"537112938";"笔记本/台式/一体/平板电脑-台式一体机"
"538113277";"彩妆/香水/美妆工具-彩妆"
"538370928";"彩妆/香水/美妆工具-化妆工具"
"538370927";"彩妆/香水/美妆工具-香水"
"538096865";"成人用品/避孕/计生用品-计生用品"
"538115195";"成人用品/避孕/计生用品-男用器具"
"538115196";"成人用品/避孕/计生用品-女用器具"
"538115194";"成人用品/避孕/计生用品-情趣家具"
"538115192";"成人用品/避孕/计生用品-情趣内衣"
"538115193";"成人用品/避孕/计生用品-情趣用品"
"537096693";"电玩/游戏机/配件/游戏软件-游戏方向盘"
"537096632";"电玩/游戏机/配件/游戏软件-游戏机"
"537096712";"电玩/游戏机/配件/游戏软件-游戏机摇杆"
"537096733";"电玩/游戏机/配件/游戏软件-游戏软件"
"537096692";"电玩/游戏机/配件/游戏软件-游戏手柄"
"537096732";"电玩/游戏机/配件/游戏软件-游戏外设"
"537172750";"电玩/游戏机/配件/游戏软件-其他数码酷玩"
"536901700";"电影/电视/音乐/曲艺-电视剧"
"536901699";"电影/电视/音乐/曲艺-电影"
"536901702";"电影/电视/音乐/曲艺-动画碟"
"536901704";"电影/电视/音乐/曲艺-戏曲综艺"
"536901701";"电影/电视/音乐/曲艺-教育音像"
"536901703";"电影/电视/音乐/曲艺-生活百科"
"537101643";"电影/电视/音乐/曲艺-胎教/育儿/怀孕"
"536901698";"电影/电视/音乐/曲艺-音乐CD/DVD"
"537101713";"电影/电视/音乐/曲艺-瑜伽/健身/舞蹈"
"536901705";"电影/电视/音乐/曲艺-其他音像"
"537087927";"国货精品数码-国货MP3和MP4"
"537111059";"国货精品数码-国货笔记本"
"537111058";"国货精品数码-国货平板电脑"
"537102296";"国货精品数码-国货摄像机"
"537087274";"国货精品数码-国货手机"
"537102295";"国货精品数码-国货相机"
"538372729";"花卉绿植-DIY仿真花材料"
"537098735";"花卉绿植-仿真花/绿植/蔬果成品"
"538372734";"花卉绿植-花种/花苗/草坪种子"
"537098814";"花卉绿植-迷你植物"
"538372733";"花卉绿植-园艺用品"
"538111385";"户外运动/登山野营/旅行装备-冲浪/滑水/帆板"
"538073833";"户外运动/登山野营/旅行装备-垂钓用品"
"538114761";"户外运动/登山野营/旅行装备-刀具/多用工具"
"538114767";"户外运动/登山野营/旅行装备-防护/救生设备"
"538073832";"户外运动/登山野营/旅行装备-服饰配件"
"538073852";"户外运动/登山野营/旅行装备-滑雪"
"538101902";"户外运动/登山野营/旅行装备-户外包/登山包/旅行包"
"538073834";"户外运动/登山野营/旅行装备-户外服装"
"537876973";"户外运动/登山野营/旅行装备-户外军品专区"
"537898715";"户外运动/登山野营/旅行装备-户外露营/野炊装备"
"538073835";"户外运动/登山野营/旅行装备-户外鞋袜"
"538073843";"户外运动/登山野营/旅行装备-攀岩/攀冰"
"538111370";"户外运动/登山野营/旅行装备-潜水"
"538073844";"户外运动/登山野营/旅行装备-水上用品"
"538114790";"户外运动/登山野营/旅行装备-通讯/导航/户外表类"
"537877015";"户外运动/登山野营/旅行装备-望远镜/眼镜"
"538371743";"户外运动/登山野营/旅行装备-饮水用具/盛水容器"
"538114787";"户外运动/登山野营/旅行装备-照明工具"
"538073895";"户外运动/登山野营/旅行装备-自行车"
"538105632";"家具-床/沙发/桌/柜/箱架-案几类/茶几"
"538105636";"家具-床/沙发/桌/柜/箱架-办公家具（家)"
"538105638";"家具-床/沙发/桌/柜/箱架-成套家具"
"536899415";"家具-床/沙发/桌/柜/箱架-充气家具"
"538371690";"家具-床/沙发/桌/柜/箱架-床垫类"
"538105630";"家具-床/沙发/桌/柜/箱架-床类"
"538105635";"家具-床/沙发/桌/柜/箱架-儿童/青少年家具"
"538105633";"家具-床/沙发/桌/柜/箱架-柜类"
"538112946";"家具-床/沙发/桌/柜/箱架-护理家具"
"538105639";"家具-床/沙发/桌/柜/箱架-家具配件"
"538371741";"家具-床/沙发/桌/柜/箱架-镜子"
"538105634";"家具-床/沙发/桌/柜/箱架-箱架类"
"538105637";"家具-床/沙发/桌/柜/箱架-桌类（家）"
"538105631";"家具-床/沙发/桌/柜/箱架-坐具/沙发"
"538117396";"家饰-装饰/摆设/布艺/十字绣-百叶帘/门帘/浴帘/纱窗"
"537113217";"家饰-装饰/摆设/布艺/十字绣-背景墙软包/床头靠/工艺软包"
